success,model,sample,local_steps,local_psnr,local_conf_c1,local_conf_c2,remote_steps,remote_psnr,s1_label,s2_label,s1_conf_c1,s1_conf_c2,s2_conf_c1,s2_conf_c2
True,fmnist,128,188,47.830003148922415,0.4984733760356903,0.49846434593200684,39,47.82998541455782,0,2,0.49847063422203064,0.4984670579433441,0.49846911430358887,0.4984687566757202
True,fmnist,129,140,54.08024366069934,0.4999796748161316,0.49997085332870483,36,54.08020980342714,3,2,0.49997788667678833,0.4999726414680481,0.4999752640724182,0.4999752640724182
True,fmnist,130,109,56.99522649619995,0.5000017285346985,0.49999386072158813,16,56.995195351357715,5,7,0.4999987483024597,0.4999968409538269,0.4999980330467224,0.4999975562095642
True,fmnist,131,104,58.36434243100037,0.4994516968727112,0.4994428753852844,50,58.36429601721524,0,6,0.4994475543498993,0.4994470775127411,0.49945133924484253,0.4994432330131531
True,fmnist,132,121,49.77769034417224,0.4995713233947754,0.4995615482330322,22,49.77767683417238,5,7,0.49956658482551575,0.4995664656162262,0.49956730008125305,0.49956563115119934
True,fmnist,133,169,45.69422769275195,0.4998263120651245,0.49981725215911865,59,45.694220071782574,3,1,0.49982190132141113,0.49982166290283203,0.49982184171676636,0.4998217225074768
True,fmnist,134,245,42.381925068298344,0.4872722327709198,0.4872626066207886,176,42.381919326393515,7,9,0.48726901412010193,0.4872654974460602,0.48726725578308105,0.4872671663761139
True,fmnist,135,194,44.74049333473876,0.4999583959579468,0.4999490976333618,70,44.740485333774494,1,3,0.4999549984931946,0.49995261430740356,0.4999545216560364,0.49995309114456177
True,fmnist,136,130,65.73652485761882,0.4999963641166687,0.49998730421066284,58,65.73637085662423,0,6,0.49999183416366577,0.49999183416366577,0.49999862909317017,0.4999850392341614
True,fmnist,137,87,70.93325860270299,0.499422550201416,0.4994131326675415,39,70.93302639455432,2,3,0.4994179904460907,0.4994177520275116,0.4994201958179474,0.4994155466556549
True,fmnist,138,138,49.1311902794644,0.49950653314590454,0.4994966387748718,48,49.1311773445709,1,3,0.4995017349720001,0.49950143694877625,0.49950191378593445,0.49950137734413147
True,fmnist,139,220,45.456693922088505,0.5000008940696716,0.49999111890792847,52,45.45668254405626,9,8,0.4999961256980896,0.4999958872795105,0.49999743700027466,0.49999457597732544
False,fmnist,140,0,None,1.0,1.7102538052427008e-08,None,None,None,None,None,None,None,None
True,fmnist,141,125,63.82988062351251,0.5000017285346985,0.49999290704727173,0,63.82988062351251,2,6,0.5000035166740417,0.49999111890792847,0.4999999403953552,0.499994695186615
True,fmnist,142,115,55.60751335739245,0.47138911485671997,0.471380352973938,51,55.60748282975267,2,6,0.4713861644268036,0.4713832437992096,0.47138530015945435,0.47138428688049316
True,fmnist,143,161,49.91867545185017,0.5000028014183044,0.4999937415122986,36,49.91866304671822,7,9,0.49999940395355225,0.49999701976776123,0.4999985694885254,0.4999978542327881
False,fmnist,144,0,None,1.0,1.18857534925354e-09,None,None,None,None,None,None,None,None
True,fmnist,145,157,50.76361522749931,0.4999789595603943,0.49997013807296753,41,50.763595448955705,5,7,0.49997466802597046,0.49997442960739136,0.49997490644454956,0.49997419118881226
True,fmnist,146,136,58.59231468305555,0.5,0.49999094009399414,79,58.59221078348319,2,4,0.4999966621398926,0.49999427795410156,0.4999958276748657,0.4999951124191284
True,fmnist,147,150,56.05613120743211,0.49791693687438965,0.4979081451892853,92,56.05606589765573,2,4,0.4979133903980255,0.4979117810726166,0.49791258573532104,0.49791252613067627
True,fmnist,148,194,53.62571613129697,0.4994213581085205,0.49941253662109375,69,53.62568199741685,2,6,0.4994182884693146,0.49941566586494446,0.49941709637641907,0.49941685795783997
True,fmnist,149,163,51.90328845484017,0.49999767541885376,0.4999881386756897,62,51.90326519023087,0,2,0.499994695186615,0.49999111890792847,0.4999930262565613,0.4999927878379822
True,fmnist,150,103,60.58522989076981,0.4999430179595947,0.49993371963500977,58,60.585177914786364,0,6,0.4999386668205261,0.49993807077407837,0.49994075298309326,0.49993598461151123
False,fmnist,151,0,None,1.0,4.833610489640705e-08,None,None,None,None,None,None,None,None
True,fmnist,152,155,52.12483810431319,0.4998090863227844,0.4998001456260681,60,52.124805890904035,2,6,0.49980464577674866,0.49980464577674866,0.49980518221855164,0.4998041093349457
True,fmnist,153,151,50.73489160782687,0.5000028610229492,0.49999427795410156,59,50.73487195966382,0,2,0.49999988079071045,0.49999725818634033,0.4999988079071045,0.4999983310699463
True,fmnist,154,218,43.31945100086741,0.48577186465263367,0.4857619106769562,107,43.31944251826403,2,1,0.4857669174671173,0.4857666790485382,0.485767662525177,0.48576605319976807
True,fmnist,155,121,83.04060900731375,0.4976866543292999,0.49767863750457764,49,83.0410747627191,0,6,0.49768298864364624,0.49768245220184326,0.4976852834224701,0.497680127620697
True,fmnist,156,194,49.33723153077598,0.4996757209300995,0.4996659457683563,107,49.33720813402468,2,3,0.49967166781425476,0.49966999888420105,0.49967101216316223,0.4996706545352936
False,fmnist,157,0,None,1.0,1.0913681069979475e-09,None,None,None,None,None,None,None,None
False,fmnist,158,0,None,1.0,3.6658512669873744e-08,None,None,None,None,None,None,None,None
True,fmnist,159,241,57.33795176600866,0.49987736344337463,0.4998684227466583,108,57.33787687253728,8,6,0.4998730719089508,0.49987271428108215,0.4998740255832672,0.4998718798160553
True,fmnist,160,143,52.1368962454853,0.4992106556892395,0.4992011487483978,54,52.13686911097159,0,6,0.4992092251777649,0.49920254945755005,0.49920618534088135,0.4992055296897888
True,fmnist,161,181,57.73971144756416,0.45676952600479126,0.45676130056381226,66,57.739638684046696,5,7,0.45676514506340027,0.4567645490169525,0.4567648470401764,0.456764817237854
True,fmnist,162,79,71.38697382604158,0.4999768137931824,0.4999677538871765,18,71.38678229513559,7,9,0.49997246265411377,0.49997198581695557,0.49997419118881226,0.49997037649154663
False,fmnist,163,0,None,1.0,6.609960134795756e-09,None,None,None,None,None,None,None,None
True,fmnist,164,157,47.90088967459704,0.49926382303237915,0.499254047870636,38,47.900877494721584,0,3,0.4992593228816986,0.4992586076259613,0.4992612302303314,0.49925658106803894
True,fmnist,165,173,45.075145340888405,0.4998363256454468,0.4998267889022827,19,45.07513669902296,5,7,0.4998319149017334,0.4998311996459961,0.4998328685760498,0.4998302459716797
True,fmnist,166,196,45.92390833648065,0.4986885190010071,0.4986790120601654,40,45.923898138392914,3,1,0.4986838400363922,0.49868372082710266,0.49868452548980713,0.49868297576904297
True,fmnist,167,147,49.638868384678084,0.4998009502887726,0.4997911751270294,40,49.63884548598334,6,3,0.4997961223125458,0.4997960031032562,0.49979761242866516,0.49979451298713684
True,fmnist,168,153,45.49192886447671,0.4996879994869232,0.49967870116233826,27,45.49192270945287,5,7,0.49968352913856506,0.49968329071998596,0.49968573451042175,0.4996809661388397
True,fmnist,169,202,45.448660961631816,0.4999605417251587,0.4999518394470215,40,45.44864655762892,9,5,0.49995946884155273,0.49995291233062744,0.4999563694000244,0.49995607137680054
